ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
234,2020-09-18,25,2020-07-24T09:44:00,1595598240,5,1.25,625
235,2020-09-18,25,2020-07-24T09:50:00,1595598600,50,1.21,6050
236,2020-09-18,25,2020-07-24T09:52:00,1595598720,50,1.2,6000
237,2020-09-18,25,2020-07-24T09:59:00,1595599140,2,1.12,224
238,2020-09-18,25,2020-07-24T10:02:00,1595599320,2,1.11,222
239,2020-09-18,25,2020-07-24T10:03:00,1595599380,1,1.11,111
240,2020-09-18,25,2020-07-24T10:04:00,1595599440,6,1.08,648
241,2020-09-18,25,2020-07-24T10:05:00,1595599500,3,1.08,324
242,2020-09-18,25,2020-07-24T10:17:00,1595600220,2,1.1,220
243,2020-09-18,25,2020-07-24T10:20:00,1595600400,20,1.11,2220
244,2020-09-18,25,2020-07-24T10:31:00,1595601060,1,1.11,111
245,2020-09-18,25,2020-07-24T11:04:00,1595603040,1,0.98,98
246,2020-09-18,25,2020-07-24T11:24:00,1595604240,1,1,100
247,2020-09-18,25,2020-07-24T11:39:00,1595605140,1,1.01,101
248,2020-09-18,25,2020-07-24T11:49:00,1595605740,1,1.05,105
249,2020-09-18,25,2020-07-24T12:01:00,1595606460,1,1.06,106
250,2020-09-18,25,2020-07-24T12:07:00,1595606820,2,1.06,212
251,2020-09-18,25,2020-07-24T12:12:00,1595607120,2,1.07,214
252,2020-09-18,25,2020-07-24T12:15:00,1595607300,1,1.09,109
253,2020-09-18,25,2020-07-24T12:16:00,1595607360,1,1.09,109
254,2020-09-18,25,2020-07-24T12:20:00,1595607600,1,1.1,110
255,2020-09-18,25,2020-07-24T12:47:00,1595609220,5,1.07,535
256,2020-09-18,25,2020-07-24T12:50:00,1595609400,2,1.07,214
257,2020-09-18,25,2020-07-24T13:08:00,1595610480,1,1.11,111
258,2020-09-18,25,2020-07-24T13:54:00,1595613240,10,1.09,1090
259,2020-09-18,25,2020-07-24T14:15:00,1595614500,1,1.04,104
260,2020-09-18,25,2020-07-24T14:17:00,1595614620,1,1.04,104
261,2020-09-18,25,2020-07-24T14:27:00,1595615220,3,1.05,315
262,2020-09-18,25,2020-07-24T14:51:00,1595616660,10,1.05,1050
263,2020-09-18,25,2020-07-24T15:16:00,1595618160,2,1.03,206
264,2020-09-18,25,2020-07-24T15:36:00,1595619360,10,1,1000
265,2020-09-18,25,2020-07-27T09:38:00,1595857080,1,1.08,108
266,2020-09-18,25,2020-07-27T09:40:00,1595857200,1,1.08,108
267,2020-09-18,25,2020-07-27T09:42:00,1595857320,1,1.12,112
268,2020-09-18,25,2020-07-27T09:47:00,1595857620,1,1.07,107
269,2020-09-18,25,2020-07-27T09:52:00,1595857920,1,1.05,105
270,2020-09-18,25,2020-07-27T09:55:00,1595858100,2,1.06,212
271,2020-09-18,25,2020-07-27T10:12:00,1595859120,30,1.09,3270
272,2020-09-18,25,2020-07-27T10:33:00,1595860380,1,1.07,107
273,2020-09-18,25,2020-07-27T10:37:00,1595860620,28,1.05,2940
274,2020-09-18,25,2020-07-27T10:48:00,1595861280,6,1.03,618
275,2020-09-18,25,2020-07-27T10:55:00,1595861700,1,1.02,102
276,2020-09-18,25,2020-07-27T11:03:00,1595862180,1,1.04,104
277,2020-09-18,25,2020-07-27T11:16:00,1595862960,1,1.08,108
278,2020-09-18,25,2020-07-27T11:35:00,1595864100,5,1.1,550
279,2020-09-18,25,2020-07-27T11:36:00,1595864160,1,1.09,109
280,2020-09-18,25,2020-07-27T11:41:00,1595864460,1,1.1,110
281,2020-09-18,25,2020-07-27T11:57:00,1595865420,1,1.07,107
282,2020-09-18,25,2020-07-27T12:35:00,1595867700,10,1,1000
283,2020-09-18,25,2020-07-27T13:08:00,1595869680,1,1.01,101
284,2020-09-18,25,2020-07-27T14:49:00,1595875740,1,1.01,101
285,2020-09-18,25,2020-07-27T15:26:00,1595877960,5,1.01,505
286,2020-09-18,25,2020-07-27T15:33:00,1595878380,2,1,200
287,2020-09-18,25,2020-07-27T15:35:00,1595878500,2,1.02,204
288,2020-09-18,25,2020-07-27T15:39:00,1595878740,1,1.02,102
289,2020-09-18,25,2020-07-28T09:32:00,1595943120,4,1.05,420
290,2020-09-18,25,2020-07-28T09:49:00,1595944140,2,1.04,208
291,2020-09-18,25,2020-07-28T09:52:00,1595944320,2,1.12,224
292,2020-09-18,25,2020-07-28T09:57:00,1595944620,3,1.14,342
293,2020-09-18,25,2020-07-28T10:05:00,1595945100,2,1.18,236
294,2020-09-18,25,2020-07-28T10:22:00,1595946120,10,1.1,1100
295,2020-09-18,25,2020-07-28T10:39:00,1595947140,10,1.08,1080
296,2020-09-18,25,2020-07-28T11:12:00,1595949120,1,1.08,108
297,2020-09-18,25,2020-07-28T11:17:00,1595949420,2,1.09,218
298,2020-09-18,25,2020-07-28T11:18:00,1595949480,1,1.13,113
299,2020-09-18,25,2020-07-28T13:04:00,1595955840,2,1.07,214
300,2020-09-18,25,2020-07-28T13:07:00,1595956020,2,1.08,216
301,2020-09-18,25,2020-07-28T13:13:00,1595956380,2,1.09,218
302,2020-09-18,25,2020-07-28T13:21:00,1595956860,8,1.06,848
303,2020-09-18,25,2020-07-28T13:22:00,1595956920,1,1.06,106
304,2020-09-18,25,2020-07-28T13:23:00,1595956980,1,1.05,105
305,2020-09-18,25,2020-07-28T14:00:00,1595959200,2,1.07,214
306,2020-09-18,25,2020-07-28T14:07:00,1595959620,2,1.04,208
307,2020-09-18,25,2020-07-28T14:28:00,1595960880,2,1.08,216
